x_m,y_m,w_tr_right_m,w_tr_left_m,ideal_speed,ideal_x,ideal_y
130.95119,1333.25855,4.24,4.515,289.0010488466754,132.689772637409,1333.2713436872282
133.121705,1337.784872,4.238,4.471,289.1787358128645,134.7143255141245,1337.5830264176689
135.340807,1342.286594,4.237,4.428,289.3564227790536,136.73887839084006,1341.8947091481093
137.594747,1346.766035,4.245,4.465,289.53410155102,138.76712034568024,1346.207811685195
139.869779,1351.225511,4.254,4.505,289.7110483442499,141.12490261828202,1350.6477436135424
142.15219,1355.667331,4.263,4.545,289.8879951374798,143.48268489088377,1355.0876755418897
144.440598,1360.090188,4.272,4.584,290.2568643857209,145.85681269474918,1359.3822306119766
146.764125,1364.483834,4.281,4.624,290.9567408576949,148.2591315142188,1363.426055301166
149.156528,1368.836666,4.261,4.668,291.65661732966896,150.6614503336884,1367.4698799903551
151.651567,1373.137076,4.228,4.713,292.356493801643,153.063769153158,1371.5137046795442
154.279244,1377.374393,4.195,4.758,293.056370273617,155.46608797262763,1375.5575293687334
157.038207,1381.545738,4.163,4.803,294.06074635241293,158.86226355847333,1381.1719026638737
159.911501,1385.652113,4.13,4.848,294.6668069584736,161.30169753470602,1384.6436219989155
162.882058,1389.694545,4.193,4.81,295.4748877665544,164.55427616968296,1389.2725811123046
165.932929,1393.674059,4.336,4.7,296.08094837261496,166.99371014591568,1392.7443004473464
169.053152,1397.591528,4.48,4.591,296.8890291806958,170.2462887808926,1397.3732595607355
172.240374,1401.447601,4.624,4.482,297.0,173.29828629643174,1401.2353001279837
175.492908,1405.242911,4.625,4.472,297.0,175.5998346958667,1404.0375648610761
178.80907,1408.978092,4.559,4.51,297.0,179.45653777840104,1408.631267971754
182.187173,1412.653777,4.493,4.547,297.0,182.0276731667573,1411.6937367122057
185.625531,1416.270599,4.427,4.585,298.88976808632225,185.98078346908065,1416.045754776544
189.12246,1419.82919,4.387,4.601,301.1101140999864,189.95665884641957,1420.3233834059495
192.676272,1423.330185,4.351,4.615,302.1184109881911,192.7981817560675,1423.2697534026545
196.285283,1426.774215,4.314,4.628,302.41497652895816,196.14731450859838,1426.4714111240946
199.947807,1430.161915,4.284,4.64,302.7110094848811,199.8425526988979,1429.850479201855
203.662157,1433.493917,4.306,4.644,303.00704244080407,203.5377908891974,1433.2295472796154
207.426649,1436.770854,4.328,4.648,303.303075396727,207.23302907949687,1436.6086153573763
211.239596,1439.993359,4.351,4.652,303.59910835265,210.92826726979638,1439.9876834351367
215.099314,1443.162066,4.351,4.653,303.8947872997952,214.3874064339696,1443.1285345975357
219.004115,1446.277607,4.331,4.65,304.40445505540185,218.42926255553908,1446.3807657222376
222.952314,1449.340616,4.311,4.648,304.9351134528192,222.34659717866265,1449.4131539080015
226.942226,1452.351726,4.291,4.645,305.4657718502365,226.2639318017862,1452.4455420937654
230.972165,1455.31157,4.305,4.573,305.9964302476538,230.18126642490975,1455.4779302795291
235.040621,1458.220463,4.366,4.404,306.5270886450711,234.0986010480333,1458.510318465293
239.146885,1461.077281,4.427,4.235,306.8796428811253,238.443253543323,1461.4900438400357
243.290473,1463.880486,4.488,4.066,307.3810254609152,243.83400038324712,1465.0366290506754
247.470905,1466.628543,4.413,4.186,307.67050349389933,246.61475796897446,1466.8541472116783
251.687698,1469.319917,4.283,4.421,308.24945955986755,252.1762731404292,1470.4891835336841
255.940369,1471.95307,4.154,4.657,308.53893759285165,254.95703072615655,1472.306701694687
260.228437,1474.526466,4.057,4.837,309.033732718894,259.5704351977505,1475.3008215987124
264.55142,1477.038571,4.134,4.718,309.365529953917,263.9516406743903,1477.984461515922
268.908836,1479.487847,4.211,4.599,309.69732718894005,268.33284615103,1480.6681014331316
273.300201,1481.872759,4.289,4.479,310.0290768554045,273.0172916183355,1483.4434715527618
277.725036,1484.19177,4.366,4.36,310.1947045127723,276.93521075918363,1485.3078053226245
282.182856,1486.443345,4.426,4.26,310.36033217014005,280.8531299000318,1487.1721390924872
286.67318,1488.625947,4.317,4.348,310.52561276614216,286.7441311250393,1489.9132581602928
291.195527,1490.73804,4.208,4.436,310.608210659443,289.9307071280074,1491.390945197786
295.749413,1492.778089,4.099,4.524,310.77340644604465,296.3038591339435,1494.3463192727727
300.334357,1494.744557,3.99,4.612,310.85600433934553,299.4904351369116,1495.8240063102658
304.949877,1496.635908,3.881,4.7,311.0739438608059,305.7182712506811,1498.7065127077294
309.59549,1498.450607,3.771,4.788,311.3620368249852,308.338681440012,1499.9002997029258
