Distance,X,Y,Speed
772.0,-714.5366982755548,6986.486963536014,347.49009711328114
774.0,-712.8563746722645,7006.736108893343,347.4151408311057
776.0,-711.1487872553039,7027.245978809146,347.3392756065071
778.0,-709.4411998383433,7047.75584872495,347.26341038190844
780.0,-707.7336124213826,7068.265718640753,347.18754515730984
782.0,-706.0260250044221,7088.775588556557,347.11167993271124
784.0,-704.3184375874615,7109.28545847236,347.0358147081126
786.0,-702.5785629890914,7129.983864048001,344.40616435096575
788.0,-700.8098159546229,7150.850865442582,339.4928213693682
790.0,-699.0410689201543,7171.7178668371635,334.57947838777056
792.0,-697.2654675371308,7192.494197255425,329.5654444694727
794.0,-695.4800598275074,7213.140807219615,324.40735481735817
796.0,-693.6946521178841,7233.787417183806,319.24926516524357
798.0,-691.9092444082607,7254.434027147996,314.091175513129
800.0,-690.1382004318289,7274.81760758417,309.7555162754474
802.0,-688.3769503673767,7295.02184132745,305.9806312446641
804.0,-686.6157003029246,7315.22607507073,302.20574621388084
806.0,-684.8544502384724,7335.43030881401,298.43086118309753
808.0,-683.0932001740204,7355.634542557289,294.6559761523142
810.0,-681.3319501095682,7375.8387763005685,290.88109112153097
812.0,-679.570700045116,7396.043010043849,287.10620609074766
814.0,-677.809449980664,7416.247243787128,283.33132105996435
816.0,-676.0481999162118,7436.451477530408,279.5564360291811
818.0,-674.3404083601622,7456.603313726282,275.83511250583234
820.0,-672.7447784594357,7476.645214276224,272.2261667407673
822.0,-671.2118585999913,7496.508552000116,268.5056181833109
824.0,-669.7338309175719,7516.215587765708,264.6873800037274
826.0,-668.2558032351525,7535.9226235313,260.8691418241439
828.0,-666.777775552733,7555.629659296893,257.05090364456044
830.0,-665.2997478703137,7575.336695062485,253.23266546497692
832.0,-663.8217201878942,7595.043730828077,249.41442728539346
834.0,-662.2917885158229,7614.439861151373,245.4294407818918
836.0,-660.5065070172991,7633.886503647187,240.78235212761123
838.0,-658.7212255187753,7653.333146143002,236.13526347333064
840.0,-656.9359440202516,7672.779788638816,231.48817481905007
842.0,-655.1506625217278,7692.226431134631,226.84108616476948
844.0,-653.365381023204,7711.673073630445,222.1939975104889
846.0,-651.5197905808268,7731.640341686009,217.57268475754475
848.0,-648.768802350626,7759.633166500664,212.95645942293024
850.0,-645.9220376516569,7788.510616886137,208.2758122196892
852.0,-643.0752729526878,7817.388067271609,203.59516501644814
854.0,-640.2285082537186,7846.265517657081,198.9145178132071
856.0,-637.3817435547495,7875.142968042554,194.23387060996606
858.0,-635.2581698995922,7894.582957963916,188.5856201794039
860.0,-633.6685082045418,7906.546633225183,182.36722434606943
862.0,-632.0788465094915,7918.5103084864495,176.148828512735
864.0,-630.4891848144412,7930.473983747716,169.93043267940055
866.0,-628.8995231193909,7942.437659008983,163.7120368460661
868.0,-626.7055524754692,7954.9541216576245,158.51598097402487
870.0,-621.116450721881,7976.637153793122,154.58534348039902
872.0,-614.787252731421,8000.791355914895,150.58108011757446
874.0,-608.4580547409608,8024.9455580366675,146.57681675474993
876.0,-602.1288567505007,8049.09976015844,142.5725533919254
878.0,-595.7996587600406,8073.253962280213,138.56829002910084
880.0,-589.488780152258,8096.66381887382,134.64779654081093
882.0,-583.2106664202321,8118.742386680025,130.87712849039912
884.0,-578.6510641944969,8132.951790839529,126.92128848594645
886.0,-574.5020324286869,8145.281169101141,122.92120895556833
